transaction_id,sender_id,receiver_id,amount,device_id,ip_address
TXN2001,ACC901,ACC902,5000.00,DEV_999,10.0.0.50
TXN2002,ACC902,ACC903,4950.00,DEV_999,10.0.0.50
TXN2003,ACC903,ACC901,4900.00,DEV_999,10.0.0.50
TXN2004,ACC904,ACC905,8500.00,DEV_999,10.0.0.50
TXN2005,ACC906,ACC907,12500.00,DEV_888,10.0.0.60
TXN2006,ACC907,ACC908,12400.00,DEV_888,10.0.0.60
TXN2007,ACC101,ACC909,9999.99,DEV_101,192.168.2.100
TXN2008,ACC202,ACC909,8888.88,DEV_202,192.168.2.101
TXN2009,ACC303,ACC909,7777.77,DEV_303,192.168.2.102
TXN2010,ACC905,ACC901,8400.00,DEV_999,10.0.0.50
