transaction_id,sender_id,receiver_id,amount,device_id,ip_address
TXN1001,ACC101,ACC102,45.50,DEV_001,192.168.1.10
TXN1002,ACC103,ACC104,120.00,DEV_002,192.168.1.11
TXN1003,ACC105,ACC101,89.99,DEV_003,192.168.1.12
TXN1004,ACC102,ACC106,12.50,DEV_004,192.168.1.13
TXN1005,ACC104,ACC107,250.00,DEV_005,192.168.1.14
TXN1006,ACC108,ACC109,15.00,DEV_006,192.168.1.15
TXN1007,ACC110,ACC111,60.25,DEV_007,192.168.1.16
TXN1008,ACC106,ACC103,33.00,DEV_008,192.168.1.17
TXN1009,ACC112,ACC113,95.00,DEV_009,192.168.1.18
TXN1010,ACC114,ACC115,110.50,DEV_010,192.168.1.19
